src_owner,src_scope,src_macrophase,src_target,src_landingzone,src_securityzone,src_implementationzone,src_component,src_component_instance,src_container,src_hosting,src_endpoints,src_provider,src_securityarea,dst_owner,dst_scope,dst_macrophase,dst_target,dst_landingzone,dst_securityzone,dst_implementationzone,dst_component,dst_component_instance,dst_container,dst_hosting,dst_endpoints,dst_provider,dst_securityarea,svc_owner,svc_scope,svc_name,svc_protocol,svc_port,svc_justification,svc_securityarea,dep_owner,dep_scope,dep_name,dep_genericsource,dep_generictarget,dep_justification,dep_securityarea,security_status,rule,servicenow,
OAWSSRE, 1A4DEV, TST, tst-we, amacp-tst-we-cur-01-net-01, app, , AAS, AAS_AZ, True, False, 10.56.220.0/23 , Microsoft - Azure, BackLog, OAWSSRE, 1A4DEV, TST, tst-we, amacp-tst-we-cur-01-net-01, app, , AKM, AKM_AZ, True, False, 10.56.208.0/24 , Microsoft - Azure, BackLog, OAWSSRE, 1A4DEV, AKM_SVC, Tcp, 8080, , BackLog, OAWSSRE, 1A4DEV, AAS component to AKM component, False, False, AAS to connect AKM, BackLog, True, Generated from Matrix Internal app app, , 
OAWSSRE, 1A4DEV, TST, tst-we, amacp-tst-we-cur-01-net-01, app, , AAS, AAS_AZ, True, False, 10.56.220.0/23 , Microsoft - Azure, BackLog, OAWSSRE, 1A4DEV, TST, tst-we, amacp-tst-we-cur-01-net-01, app, , CMS, CMS_AZ, True, False, 10.56.208.0/24 , Microsoft - Azure, BackLog, OAWSSRE, 1A4DEV, CMS_SVC, Tcp, 8080, , BackLog, OAWSSRE, 1A4DEV, AAS component to CMS component, False, False, AAS to connect CMS, BackLog, True, Generated from Matrix Internal app app, , 
OAWSSRE, 1A4DEV, TST, tst-we, amacp-tst-we-cur-01-net-01, app, , AAS, AAS_AZ, True, False, 10.56.220.0/23 , Microsoft - Azure, BackLog, OAWSSRE, 1A4DEV, TST, tst-we, amacp-tst-we-cur-01-net-01, app, , ETZ, ETZ_AZ, True, False, 10.56.208.0/24 , Microsoft - Azure, BackLog, OAWSSRE, 1A4DEV, ETZ_SVC, Tcp, 8080, , BackLog, OAWSSRE, 1A4DEV, AAS component to ETZ component, False, False, AAS to connect ETZ, BackLog, True, Generated from Matrix Internal app app, , 
OAWSSRE, 1A4DEV, TST, tst-we, amacp-tst-we-cur-01-net-01, app, , AAS, AAS_AZ, True, False, 10.56.220.0/23 , Microsoft - Azure, BackLog, OAWSSRE, 1A4DEV, TST, tst-we, amacp-tst-we-cur-01-net-01, app, , PAB, PAB_AZ, True, False, 10.56.208.0/24 , Microsoft - Azure, BackLog, OAWSSRE, 1A4DEV, PAB_SVC, Tcp, 8080, , BackLog, OAWSSRE, 1A4DEV, AAS component to PAB component, False, False, AAS to connect PAB, BackLog, True, Generated from Matrix Internal app app, , 
OAWSSRE, 1A4DEV, TST, tst-we, amacp-tst-we-cur-01-net-01, app, , AAU, AAU_AZ, True, False, 10.56.220.0/23 , Microsoft - Azure, BackLog, OAWSSRE, 1A4DEV, TST, tst-we, amacp-tst-we-cur-01-net-01, app, , AAS, AAS_AZ, True, False, 10.56.208.0/24 , Microsoft - Azure, BackLog, OAWSSRE, 1A4DEV, AAS_SVC, Tcp, 8080, , BackLog, OAWSSRE, 1A4DEV, AAU component to AAS component, False, False, AAU to connect AAS, BackLog, True, Generated from Matrix Internal app app, , 
OAM02D, ACO, PRD, Legacy DC Erding, ENF - Erding, app, , ACO, ACO Legacy DEV, False, False, 172.25.78.30/32 , Amadeus, BackLog, OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, OSX02WIN OSTFOP, OSCVMM, ssh, Tcp, 22, , BackLog, OAM02D, ACO, ACO DEV to OBE (ssh), False, True, , BackLog, False, , , 
OAM02D, ACO, PRD, Legacy DC Erding, ENF - Erding, app, , ACO, ACO Legacy DEV, False, False, 172.25.78.30/32 , Amadeus, BackLog, OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD PRD DMZ, False, False, 172.24.174.11/32 172.24.174.37/32 172.24.174.40/32 , Amadeus, BackLog, OSX02WIN OSTFOP, OSCVMM, ssh, Tcp, 22, , BackLog, OAM02D, ACO, ACO DEV to OBE (ssh), False, True, , BackLog, False, , , 
OAM02D, ACO, PRD, Legacy DC Erding, ENF - Erding, app, , ACO, ACO Legacy DEV, False, False, 172.25.78.30/32 , Amadeus, BackLog, OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD UAT DMZ, False, False, 172.17.35.167/32 172.17.35.210/32 , Amadeus, BackLog, OSX02WIN OSTFOP, OSCVMM, ssh, Tcp, 22, , BackLog, OAM02D, ACO, ACO DEV to OBE (ssh), False, True, , BackLog, False, , , 
OAM02D, ACO, PRD, Legacy DC Erding, ENF - Erding, app, , ACO, ACO Legacy PRD, False, False, 172.25.62.30/32 , Amadeus, BackLog, OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, OSX02WIN OSTFOP, OSCVMM, ssh, Tcp, 22, , BackLog, OAM02D, ACO, ACO PRD to OBE (ssh), False, True, , BackLog, False, , , 
OAM02D, ACO, PRD, Legacy DC Erding, ENF - Erding, app, , ACO, ACO Legacy PRD, False, False, 172.25.62.30/32 , Amadeus, BackLog, OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD PRD DMZ, False, False, 172.24.174.11/32 172.24.174.37/32 172.24.174.40/32 , Amadeus, BackLog, OSX02WIN OSTFOP, OSCVMM, ssh, Tcp, 22, , BackLog, OAM02D, ACO, ACO PRD to OBE (ssh), False, True, , BackLog, False, , , 
OAM02D, ACO, PRD, Legacy DC Erding, ENF - Erding, app, , ACO, ACO Legacy PRD, False, False, 172.25.62.30/32 , Amadeus, BackLog, OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD UAT DMZ, False, False, 172.17.35.167/32 172.17.35.210/32 , Amadeus, BackLog, OSX02WIN OSTFOP, OSCVMM, ssh, Tcp, 22, , BackLog, OAM02D, ACO, ACO PRD to OBE (ssh), False, True, , BackLog, False, , , 
OAM02D, ACO, PRD, Legacy DC Erding, ENF - Erding, app, , ACO, ACO Legacy STG, False, False, 172.25.62.31/32 , Amadeus, BackLog, OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, OSX02WIN OSTFOP, OSCVMM, ssh, Tcp, 22, , BackLog, OAM02D, ACO, ACO STG to OBE (ssh), False, True, , BackLog, False, , , 
OAM02D, ACO, PRD, Legacy DC Erding, ENF - Erding, app, , ACO, ACO Legacy STG, False, False, 172.25.62.31/32 , Amadeus, BackLog, OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD PRD DMZ, False, False, 172.24.174.11/32 172.24.174.37/32 172.24.174.40/32 , Amadeus, BackLog, OSX02WIN OSTFOP, OSCVMM, ssh, Tcp, 22, , BackLog, OAM02D, ACO, ACO STG to OBE (ssh), False, True, , BackLog, False, , , 
OAM02D, ACO, PRD, Legacy DC Erding, ENF - Erding, app, , ACO, ACO Legacy STG, False, False, 172.25.62.31/32 , Amadeus, BackLog, OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD UAT DMZ, False, False, 172.17.35.167/32 172.17.35.210/32 , Amadeus, BackLog, OSX02WIN OSTFOP, OSCVMM, ssh, Tcp, 22, , BackLog, OAM02D, ACO, ACO STG to OBE (ssh), False, True, , BackLog, False, , , 
OEA02SNM, ADDM, PRD, Legacy DC Erding, ENF - Erding, app, , ADDM, ADDM PRD, False, False, 172.25.7.198/32 194.156.169.161/32 194.156.169.162/32 194.156.169.163/32 194.156.169.164/32 194.156.169.165/32 194.156.169.166/32 194.156.169.167/32 194.156.169.168/32 194.156.169.186/32 194.156.169.187/32 194.156.169.188/32 194.156.169.189/32 194.156.169.193/32 194.156.169.194/32 194.156.169.195/32 194.156.169.196/32 , Amadeus, BackLog, OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, OSX02WIN OSTFOP, OSCVMM, ssh, Tcp, 22, , BackLog, OEA02SNM, ADDM, ADDM PRD to OBE PRD (ssh), False, True, , BackLog, False, , , 
OEA02SNM, ADDM, PRD, Legacy DC Erding, ENF - Erding, app, , ADDM, ADDM PRD, False, False, 172.25.7.198/32 194.156.169.161/32 194.156.169.162/32 194.156.169.163/32 194.156.169.164/32 194.156.169.165/32 194.156.169.166/32 194.156.169.167/32 194.156.169.168/32 194.156.169.186/32 194.156.169.187/32 194.156.169.188/32 194.156.169.189/32 194.156.169.193/32 194.156.169.194/32 194.156.169.195/32 194.156.169.196/32 , Amadeus, BackLog, OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD PRD DMZ, False, False, 172.24.174.11/32 172.24.174.37/32 172.24.174.40/32 , Amadeus, BackLog, OSX02WIN OSTFOP, OSCVMM, ssh, Tcp, 22, , BackLog, OEA02SNM, ADDM, ADDM PRD to OBE PRD (ssh), False, True, , BackLog, False, , , 
OEA02SNM, ADDM, PRD, Legacy DC Erding, ENF - Erding, app, , ADDM, ADDM PRD, False, False, 172.25.7.198/32 194.156.169.161/32 194.156.169.162/32 194.156.169.163/32 194.156.169.164/32 194.156.169.165/32 194.156.169.166/32 194.156.169.167/32 194.156.169.168/32 194.156.169.186/32 194.156.169.187/32 194.156.169.188/32 194.156.169.189/32 194.156.169.193/32 194.156.169.194/32 194.156.169.195/32 194.156.169.196/32 , Amadeus, BackLog, OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD UAT DMZ, False, False, 172.17.35.167/32 172.17.35.210/32 , Amadeus, BackLog, OSX02WIN OSTFOP, OSCVMM, ssh, Tcp, 22, , BackLog, OEA02SNM, ADDM, ADDM PRD to OBE PRD (ssh), False, True, , BackLog, False, , , 
OEA02SNM, ADDM, PRD, Legacy DC Erding, ENF - Erding, app, , ADDM, ADDM TST, False, False, 172.25.202.37/32 172.25.202.38/32 172.25.202.39/32 172.25.202.40/32 , Amadeus, BackLog, OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, OSX02WIN OSTFOP, OSCVMM, ssh, Tcp, 22, , BackLog, OEA02SNM, ADDM, ADDM TST to OBE PRD (ssh), False, True, , BackLog, False, , , 
OEA02SNM, ADDM, PRD, Legacy DC Erding, ENF - Erding, app, , ADDM, ADDM TST, False, False, 172.25.202.37/32 172.25.202.38/32 172.25.202.39/32 172.25.202.40/32 , Amadeus, BackLog, OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD PRD DMZ, False, False, 172.24.174.11/32 172.24.174.37/32 172.24.174.40/32 , Amadeus, BackLog, OSX02WIN OSTFOP, OSCVMM, ssh, Tcp, 22, , BackLog, OEA02SNM, ADDM, ADDM TST to OBE PRD (ssh), False, True, , BackLog, False, , , 
OEA02SNM, ADDM, PRD, Legacy DC Erding, ENF - Erding, app, , ADDM, ADDM TST, False, False, 172.25.202.37/32 172.25.202.38/32 172.25.202.39/32 172.25.202.40/32 , Amadeus, BackLog, OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD UAT DMZ, False, False, 172.17.35.167/32 172.17.35.210/32 , Amadeus, BackLog, OSX02WIN OSTFOP, OSCVMM, ssh, Tcp, 22, , BackLog, OEA02SNM, ADDM, ADDM TST to OBE PRD (ssh), False, True, , BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, DACFCCO, ControlM, RND, rnd-we, rnd-we-hub-net, TechnicalZone, , ControlM Server, CTLM-DEV-PRIMARY-00 Server, False, False, 10.56.128.0/26 , Microsoft - Azure, BackLog, DACFCCO, ControlM, Server ping, Icmp, , Control-M agent needs to ping Control-M server, BackLog, DACFCCO, ControlM, Agent ping Server, True, True, Agents send job status to servers, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, DACFCCO, ControlM, PRD, Legacy DC Erding, ENF - Erding, app, , ControlM Server, MUCACS1D Server, False, False, 172.25.7.243/32 , Amadeus, BackLog, DACFCCO, ControlM, Server ping, Icmp, , Control-M agent needs to ping Control-M server, BackLog, DACFCCO, ControlM, Agent ping Server, True, True, Agents send job status to servers, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, DACFCCO, ControlM, PRD, Legacy DC Erding, ENF - Erding, app, , ControlM Server, MUCACS1P Server, False, False, 172.25.78.19/32 , Amadeus, BackLog, DACFCCO, ControlM, Server ping, Icmp, , Control-M agent needs to ping Control-M server, BackLog, DACFCCO, ControlM, Agent ping Server, True, True, Agents send job status to servers, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, DACFCCO, ControlM, PRD, Legacy DC Erding, ENF - Erding, app, , ControlM Server, MUCACS1T Server, False, False, 172.25.7.242/32 , Amadeus, BackLog, DACFCCO, ControlM, Server ping, Icmp, , Control-M agent needs to ping Control-M server, BackLog, DACFCCO, ControlM, Agent ping Server, True, True, Agents send job status to servers, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, DACFCCO, ControlM, PRD, Legacy DC Erding, ENF - Erding, app, , ControlM Server, MUCCT3P Server, False, False, 172.25.78.14/32 , Amadeus, BackLog, DACFCCO, ControlM, Server ping, Icmp, , Control-M agent needs to ping Control-M server, BackLog, DACFCCO, ControlM, Agent ping Server, True, True, Agents send job status to servers, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, DACFCCO, ControlM, PRD, Legacy DC Erding, ENF - Erding, app, , ControlM Server, MUCCT4C Server, False, False, 172.17.234.80/32 , Amadeus, BackLog, DACFCCO, ControlM, Server ping, Icmp, , Control-M agent needs to ping Control-M server, BackLog, DACFCCO, ControlM, Agent ping Server, True, True, Agents send job status to servers, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, DACFCCO, ControlM, PRD, Legacy DC Erding, ENF - Erding, app, , ControlM Server, MUCCT4P Server, False, False, 172.25.78.18/32 , Amadeus, BackLog, DACFCCO, ControlM, Server ping, Icmp, , Control-M agent needs to ping Control-M server, BackLog, DACFCCO, ControlM, Agent ping Server, True, True, Agents send job status to servers, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, DACFCCO, ControlM, PRD, Legacy DC Erding, ENF - Erding, app, , ControlM Server, MUCCT4T Server, False, False, 172.25.7.242/32 , Amadeus, BackLog, DACFCCO, ControlM, Server ping, Icmp, , Control-M agent needs to ping Control-M server, BackLog, DACFCCO, ControlM, Agent ping Server, True, True, Agents send job status to servers, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, DACFCCO, ControlM, PRD, Legacy DC Erding, ENF - Erding, app, , ControlM Server, MUCCT6T Server, False, False, 172.25.7.243/32 , Amadeus, BackLog, DACFCCO, ControlM, Server ping, Icmp, , Control-M agent needs to ping Control-M server, BackLog, DACFCCO, ControlM, Agent ping Server, True, True, Agents send job status to servers, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, DACFCCO, ControlM, PRD, Legacy DC Erding, ENF - Erding, app, , ControlM Server, MUCE2ET Server, False, False, 172.25.7.242/32 , Amadeus, BackLog, DACFCCO, ControlM, Server ping, Icmp, , Control-M agent needs to ping Control-M server, BackLog, DACFCCO, ControlM, Agent ping Server, True, True, Agents send job status to servers, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD PRD DMZ, False, False, 172.24.174.11/32 172.24.174.37/32 172.24.174.40/32 , Amadeus, BackLog, DACFCCO, ControlM, RND, rnd-we, rnd-we-hub-net, TechnicalZone, , ControlM Server, CTLM-DEV-PRIMARY-00 Server, False, False, 10.56.128.0/26 , Microsoft - Azure, BackLog, DACFCCO, ControlM, Server ping, Icmp, , Control-M agent needs to ping Control-M server, BackLog, DACFCCO, ControlM, Agent ping Server, True, True, Agents send job status to servers, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD PRD DMZ, False, False, 172.24.174.11/32 172.24.174.37/32 172.24.174.40/32 , Amadeus, BackLog, DACFCCO, ControlM, PRD, Legacy DC Erding, ENF - Erding, app, , ControlM Server, MUCACS1D Server, False, False, 172.25.7.243/32 , Amadeus, BackLog, DACFCCO, ControlM, Server ping, Icmp, , Control-M agent needs to ping Control-M server, BackLog, DACFCCO, ControlM, Agent ping Server, True, True, Agents send job status to servers, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD PRD DMZ, False, False, 172.24.174.11/32 172.24.174.37/32 172.24.174.40/32 , Amadeus, BackLog, DACFCCO, ControlM, PRD, Legacy DC Erding, ENF - Erding, app, , ControlM Server, MUCACS1P Server, False, False, 172.25.78.19/32 , Amadeus, BackLog, DACFCCO, ControlM, Server ping, Icmp, , Control-M agent needs to ping Control-M server, BackLog, DACFCCO, ControlM, Agent ping Server, True, True, Agents send job status to servers, BackLog, False, , , 
